inv432,existing,current,0,2013-06-28
inv433,existing,current,2,2013-06-28
inv434,existing,current,5,2013-06-28
inv435,existing,current,3,2013-06-28
inv436,existing,current,0,2013-06-28
inv437,existing,current,4,2013-06-28
inv438,existing,current,1,2013-06-28
inv439,existing,current,2,2013-06-28
inv440,existing,current,0,2013-06-28
inv441,existing,current,1,2013-06-28
inv442,existing,current,16,2013-06-28
inv443,existing,current,0,2013-06-28
inv444,existing,current,3,2013-06-28
inv445,existing,current,9,2013-06-28
inv446,existing,current,2,2013-06-28
inv447,existing,current,2,2013-06-28
inv448,existing,current,3,2013-06-28
inv449,existing,current,5,2013-06-28
inv450,existing,current,3,2013-06-28
inv451,existing,current,5,2013-06-28
inv452,existing,current,0,2013-06-28
inv453,existing,current,3,2013-06-28
inv454,existing,current,10,2013-06-28
inv455,existing,current,5,2013-06-28
inv456,existing,current,0,2013-06-28
inv457,existing,current,80,2013-06-28
inv458,existing,current,30,2013-06-28
inv459,existing,current,25,2013-06-28
inv460,existing,current,5,2013-06-28
inv461,existing,current,96,2013-06-28
inv462,existing,current,0,2013-06-28
inv463,existing,current,25,2013-06-28
inv464,existing,current,0,2013-06-28
inv465,existing,current,0,2013-06-28
inv466,existing,current,38,2013-06-28
inv467,existing,current,36,2013-06-28
inv468,existing,current,0,2013-06-28
inv469,existing,current,0,2013-06-28
inv470,existing,current,0,2013-06-28
inv471,existing,current,0,2013-06-28
inv472,existing,current,3,2013-06-28
inv473,existing,current,12,2013-06-28
inv474,existing,current,0,2013-06-28
inv475,existing,current,6,2013-06-28
inv476,existing,current,2,2013-06-28
inv477,existing,current,0,2013-06-28
inv478,existing,current,50,2013-06-28
inv479,existing,current,4,2013-06-28
inv480,existing,current,215,2013-06-28
inv481,existing,current,1,2013-06-28
inv482,existing,current,12,2013-06-28
inv483,existing,current,9,2013-06-28
inv484,existing,current,1,2013-06-28
inv485,existing,current,1,2013-06-28
inv486,existing,current,112,2013-06-28
inv487,existing,current,6,2013-06-28
inv488,existing,current,42,2013-06-28
inv489,existing,current,0,2013-06-28
inv490,existing,current,0,2013-06-28
inv491,existing,current,0,2013-06-28
inv492,existing,current,0,2013-06-28
inv493,existing,current,0,2013-06-28
inv494,existing,current,0,2013-06-28
inv495,existing,current,0,2013-06-28
inv496,existing,current,0,2013-06-28
inv497,existing,current,0,2013-06-28
inv498,existing,current,0,2013-06-28
inv499,existing,current,6,2013-06-28
inv500,existing,current,4,2013-06-28
inv501,existing,current,18,2013-06-28
inv502,existing,current,5,2013-06-28
inv503,existing,current,3,2013-06-28
inv504,existing,current,0,2013-06-28
